the_geom,other_names_1,cartodb_georef_status,iu_archives_number,latitude,longitude,purl,image_url,archive_date,description_from_notebook,description_from_slide_mount,image_note,slide_condition,city_and_state,geocoordinates,personal_names_1,corporate_names_1,cartodb_id,genre_1,genre_2,topical_subject_headings_1,topical_subject_headings_2,topical_subject_headings_3,topical_subject_headings_4,topical_subject_headings_5,topical_subject_headings_6,topical_subject_headings_7,topical_subject_headings_8,topical_subject_headings_9,topical_subject_headings_10,topical_subject_headings_11,topical_subject_headings_12,other_1,date
0101000020E6100000A5A54D30F7E755C0626E522C12F04440,,FALSE,3346,41.8755546,-87.6244622,http://purl.dlib.indiana.edu/iudl/archives/cushman/P03346,http://webapp1.dlib.indiana.edu/collections/cushman/full/P03346.jpg,"Jun. 4, 1946",Top branches of Jksn Pk's Kentucky Coffee tree,Top of Kentucky Coffee Tree Jackson Park.,,,"Chicago, Illinois","41.8755546, -87.6244622",,,833,Identification photographs,,Tree limbs,Leaves,,,,,,,,,,,"Jackson Park (Chicago, Ill.)",1946-06-04 00:00:00+00
0101000020E610000089D92670C69A5EC03333333333E34240,,FALSE,7294,37.775,-122.4183617,http://purl.dlib.indiana.edu/iudl/archives/cushman/P07294,http://webapp1.dlib.indiana.edu/collections/cushman/full/P07294.jpg,"Aug. 31, 1954",Alcatraz Island.,Alcatraz Island.,,Anscochrome film.,"San Francisco, California","37.775, -122.4183617",,"United States Penitentiary, Alcatraz Island, California",3640,,,Islands,Buildings,Boats,Bodies of water,Prisons,Piers & wharves,Towers,Trees,Shrubs,,,,Alcatraz Island (Calif.),1954-08-31 00:00:00+00
0101000020E61000007BF5F1D0F7E755C0626E522C12F04440,,FALSE,4268,41.8755546,-87.6245005,http://purl.dlib.indiana.edu/iudl/archives/cushman/P04268,http://webapp1.dlib.indiana.edu/collections/cushman/full/P04268.jpg,"Mar. 24, 1949",Liberty statuettes grace yard of 3234 Ellis Ave. | Liberty (2) at 3234 So. Ellis,3234 So. Eiils Ave.,,,"Chicago, Illinois","41.8755546, -87.6245005",,,1216,,,Sculpture,Arches,Buildings,Windows,,,,,,,,,,1949-03-24 00:00:00+00
0101000020E610000005D03989D2345AC03F9F1221BF6A4340,,FALSE,6251,38.8339578,-104.8253501,http://purl.dlib.indiana.edu/iudl/archives/cushman/P06251,http://webapp1.dlib.indiana.edu/collections/cushman/full/P06251.jpg,"Oct. 27, 1952",Sentinel Rock again,Sentinel Rock-Garden of the Gods,,,"Colorado Springs, Colorado","38.8339578, -104.8253501",,,1578,Landscape photographs,,Rock formations,Cliffs,Buttes,Hills,Mountains,Roads,Shrubs,,,,,,Sentinel Rock (Colo.),1952-10-27 00:00:00+00
0101000020E61000000A1B54D18EB155C00D09CECFC3144240,,FALSE,5102,36.1622257,-86.7743419,http://purl.dlib.indiana.edu/iudl/archives/cushman/P05102,http://webapp1.dlib.indiana.edu/collections/cushman/full/P05102.jpg,"Dec. 1, 1951",Front gate,"Front gate and driveThe Hermitage near Nashville, Tenn.",,,"Nashville, Tennessee","36.1622257, -86.7743419","Jackson, Andrew, 1767-1845","Hermitage (Hermitage, Tenn.)",2725,,,Historic buildings,,Gates,,,Fences,,,,,,,,1951-12-01 00:00:00+00
0101000020E610000087A3AB74F7E755C0626E522C12F04440,,FALSE,4013,41.8755546,-87.6244785,http://purl.dlib.indiana.edu/iudl/archives/cushman/P04013,http://webapp1.dlib.indiana.edu/collections/cushman/full/P04013.jpg,"Jul. 20, 1948",8 views of final operations in wrecking of old Hyde Park church (built in 1895) at N.W. corner of 56th St. & Dorchester Ave.,Hyde Park Church of 1895 at 56th & Dorchester Cushman,,,"Chicago, Illinois","41.8755546, -87.6244785",,,996,Architectural photographs,,Churches,Demolition,Ruins,,,,,,,,,,,1948-07-19 00:00:00+00
0101000020E6100000B661B94A1C0056C0249BABE639D64440,,FALSE,3368,41.673642,-88.0017268,http://purl.dlib.indiana.edu/iudl/archives/cushman/P03368,http://webapp1.dlib.indiana.edu/collections/cushman/full/P03368.jpg,"Jun. 13, 1946",Big pine and cherries in old Singer estate at Lemont.,"Big pine and cherries Old Singer estate, Lemont.[Singer + Logan Sts.]",,,"Lemont, Illinois","41.673642, -88.0017268",,,2293,Identification photographs,,Pines,Shrubs,Shadows,Cherries,,,,,,,,,,1946-06-13 00:00:00+00
0101000020E6100000D5ED47E5819E53C0CDC98B4CC0034340,,FALSE,2150,38.029306,-78.4766782,http://purl.dlib.indiana.edu/iudl/archives/cushman/P02150,http://webapp1.dlib.indiana.edu/collections/cushman/full/P02150.jpg,"Dec. 20, 1940",40 - P - 23 = Blue Ridge Mts.,40 - P - 23= Blue Ridge Mtns from Skyline DriveA car Charlottesville Va.Blue Ridge Mtns. From Skyline DriveN. W. of Charlottesville,,black & white .,"Charlottesville, Virginia","38.029306, -78.4766782",,,397,Landscape photographs,,Mountains,Fog,Trees,,,,,,,,,,Blue Ridge Mountains,1940-12-19 00:00:00+00
0101000020E6100000293E3E213B0756C04FE0E70995EE4440,Cornus officinalis,FALSE,3627,41.8639233,-88.112984,http://purl.dlib.indiana.edu/iudl/archives/cushman/P03627,http://webapp1.dlib.indiana.edu/collections/cushman/full/P03627.jpg,"Apr. 23, 1947",Expanse of Cornelian Cherry shrubs and trees.,Cornus officinalisArb.E.,,,"Wheaton, Illinois","41.8639233, -88.1129840",,Morton Arboretum,4753,Identification photographs,Landscape photographs,Shrubs,Trees,Flowers,Cherry trees,Botanical gardens,,,,,,,,Cornus (Plants),1947-04-23 00:00:00+00
,,FALSE,3530,,,http://purl.dlib.indiana.edu/iudl/archives/cushman/P03530,http://webapp1.dlib.indiana.edu/collections/cushman/full/P03530.jpg,"Oct. 23, 1946",Empty house in corn field nr. Shepardville,"Corn in yellow leaf near Shepardville, Indiana",,masked.,"Shephardsville, Indiana",,,,4000,Landscape photographs,,Trees,Farmhouses,Corn,Croplands,Farms,,,,,,,,,1946-10-23 00:00:00+00
