the_geom,other_names_1,cartodb_georef_status,iu_archives_number,latitude,longitude,purl,image_url,archive_date,description_from_notebook,description_from_slide_mount,image_note,slide_condition,city_and_state,geocoordinates,personal_names_1,corporate_names_1,cartodb_id,genre_1,genre_2,topical_subject_headings_1,topical_subject_headings_2,topical_subject_headings_3,topical_subject_headings_4,topical_subject_headings_5,topical_subject_headings_6,topical_subject_headings_7,topical_subject_headings_8,topical_subject_headings_9,topical_subject_headings_10,topical_subject_headings_11,topical_subject_headings_12,other_1,date
0101000020E61000005BA2693F088551C0F0D69EFE58D54440,,FALSE,2499,41.6667784,-70.0786284,http://purl.dlib.indiana.edu/iudl/archives/cushman/P02499,http://webapp1.dlib.indiana.edu/collections/cushman/full/P02499.jpg,"Sep. 22, 1941","Sunset sky at Harwichport, Cape Cod","Sunset SkyHarwich Port, Mass.Cape Cod",,"Image was originally mounted in a glass enclosure. Before digitization, the imagewas removed and placed in a Wess Plastic, Inc. brand, 2"" x 2"", plastic mount. The description from the slide mount was then transferred to the new mount by the staff of the University Archives. The transferred information was checked against the data on the original slide mount for accuracy. The original mounts have been kept with the Cushman collection.","Harwich Port, Massachusetts","41.6667784, -70.0786284",,,2019,Seascapes,,Clouds,Sunrises & sunsets,Oceans,,,,,,,,,,Cape Cod (Mass.),1941-09-22 00:00:00+00
0101000020E61000007DF5A7435D625AC0CD19F620A9E34340,,FALSE,6359,39.7785989,-105.5369424,http://purl.dlib.indiana.edu/iudl/archives/cushman/P06359,http://webapp1.dlib.indiana.edu/collections/cushman/full/P06359.jpg,"Oct. 31, 1952",Russell Gulch.,"Central City, Colo.Russell Gulch.",,,"Russell Gulch, Colorado","39.7785989, -105.5369424",,,3180,Views,,Shadows,Pedestrians,Automobiles,Signs (Notices),Electric signs,Sidewalks,Hotels,Hills,Mercantile facilities,Bars,Streets,Cities & towns,,1952-10-31 00:00:00+00
0101000020E61000008035BD7A4BBB5BC05192640C621C4040,Cristate saguaro,FALSE,5534,32.2217422,-110.9264819,http://purl.dlib.indiana.edu/iudl/archives/cushman/P05534,http://webapp1.dlib.indiana.edu/collections/cushman/full/P05534.jpg,"Jan. 5, 1952",Chapel at side.,Chapel at side of church - with Cristate Cactus at right - San Xavier Mission.,,,"Tucson, Arizona","32.2217422, -110.9264819",,"Mission San Xavier del Bac (Tucson, Ariz.)",4231,Architectural photographs,,Chapels,Missions,Cactus,Doors & doorways,Bell towers,Towers,Windows,Facades,Mission churches,,,,Saguaro,1952-01-05 00:00:00+00
0101000020E6100000CE0017644BBB5BC05192640C621C4040,,FALSE,1745,32.2217422,-110.9264765,http://purl.dlib.indiana.edu/iudl/archives/cushman/P01745,http://webapp1.dlib.indiana.edu/collections/cushman/full/P01745.jpg,Feb. 1940,Row of giant cacti. Santa Catalina foothills,"Giant sahuarossanta catalinaFoothills, Tucson",,"Image was originally mounted in a glass enclosure. Before digitization, the imagewas removed and placed in a Wess Plastic, Inc. brand, 2"" x 2"", plastic mount. The description from the slide mount was then transferred to the new mount by the staff of the University Archives. The transferred information was checked against the data on the original slide mount for accuracy. The original mounts have been kept with the Cushman collection.","Tucson, Arizona","32.2217422, -110.9264765",,,4177,Landscape photographs,,Clouds,Mountains,Shrubs,Cactus,Shadows,,,,,,,,Santa Catalina Mountains (Ariz.),1940-02-01 00:00:00+00
0101000020E6100000986082644BBB5BC05192640C621C4040,,FALSE,1746,32.2217422,-110.9264766,http://purl.dlib.indiana.edu/iudl/archives/cushman/P01746,http://webapp1.dlib.indiana.edu/collections/cushman/full/P01746.jpg,Feb. 1940,Giant sahuaras. Santa Catalina foothills.,Tall sahuaros in foothills of Santa Catalina Mtns.North of Tucson.,,"Image was originally mounted in a glass enclosure. Before digitization, the imagewas removed and placed in a Wess Plastic, Inc. brand, 2"" x 2"", plastic mount. The description from the slide mount was then transferred to the new mount by the staff of the University Archives. The transferred information was checked against the data on the original slide mount for accuracy. The original mounts have been kept with the Cushman collection.","Tucson, Arizona","32.2217422, -110.9264766",,,4178,Landscape photographs,,Clouds,Cactus,Mountains,Shrubs,Shadows,,,,,,,,Santa Catalina Mountains (Ariz.),1940-02-01 00:00:00+00
0101000020E6100000910BCEE06F375DC0F5D901D7153B4240,,FALSE,6038,36.461604,-116.8662035,http://purl.dlib.indiana.edu/iudl/archives/cushman/P06038,http://webapp1.dlib.indiana.edu/collections/cushman/full/P06038.jpg,"Apr. 9, 1952",NW from out on shoulder.,View west from Zabriskie Point. Death Valley.,,,"Furnace Creek, California","36.461604, -116.8662035",,,1900,Landscape photographs,,Rock formations,Mountains,Valleys,Deserts,,,,,,,,,Zabriskie Point (Calif.),1952-04-09 00:00:00+00
0101000020E610000026CBA4E16F375DC0F5D901D7153B4240,,FALSE,6040,36.461604,-116.8662037,http://purl.dlib.indiana.edu/iudl/archives/cushman/P06040,http://webapp1.dlib.indiana.edu/collections/cushman/full/P06040.jpg,"Apr. 9, 1952",From road to Bad Water toward Desolation Canyon.,"Looking toward Desolation Canyon from road to Bad Water.Death Valley, Calif.",,,"Furnace Creek, California","36.461604, -116.8662037",,,1902,Landscape photographs,,Canyons,Mountains,Hills,Valleys,Deserts,,,,,,,,Death Valley (Calif. and Nev.),1952-04-09 00:00:00+00
0101000020E61000007961C66FE53B59C07C71F3D775513D40,,FALSE,5406,29.3182044,-100.9358787,http://purl.dlib.indiana.edu/iudl/archives/cushman/P05406,http://webapp1.dlib.indiana.edu/collections/cushman/full/P05406.jpg,"Dec. 25, 1951",Water carts at town well,"Water carts at the town well  Villa Acuna, Mex.",,masked.,"Ciudad Acuna, Coahuila","29.3182044, -100.9358787",,,1503,Snapshots,,Carts & wagons,People,Donkeys,Wells,Fences,Trees,Buildings,Dirt roads,Cities & towns,Automobiles,Electric lines,Utility poles,,1951-12-25 00:00:00+00
0101000020E6100000A8ACB8E9600256C03E963E7441E94440,,FALSE,3105,41.82231,-88.0371651,http://purl.dlib.indiana.edu/iudl/archives/cushman/P03105,http://webapp1.dlib.indiana.edu/collections/cushman/full/P03105.jpg,"Feb. 12, 1946",Barn yard with pigs and cows- 3 miles west of Downers Grove out Maple Ave. road,Cows and pigs on farm 3 mi. west of Downers Grove,,,"Downers Grove, Illinois","41.82231, -88.0371650985204",,,1738,Architectural photographs,,Agricultural facilities,Haystacks,Barns,Swine,Cows,Farms,Trees,Storage tanks,,,,,,1946-02-12 00:00:00+00
0101000020E61000004DADAD8ED2345AC03F9F1221BF6A4340,Red slab,FALSE,6284,38.8339578,-104.8253514,http://purl.dlib.indiana.edu/iudl/archives/cushman/P06284,http://webapp1.dlib.indiana.edu/collections/cushman/full/P06284.jpg,"Oct. 27, 1952",& to the left,Colorado's Garden of the Gods-Red slab 10/27/52C.W. Cushman,,"Image was originally mounted in a glass enclosure. Before digitization, the imagewas removed and placed in a Wess Plastic, Inc. brand, 2"" x 2"", plastic mount. The description from the slide mount was then transferred to the new mount by the staff of the University Archives. The transferred information was checked against the data on the original slide mount for accuracy. The original mounts have been kept with the Cushman collection.","Colorado Springs, Colorado","38.8339578, -104.8253514","Cushman, Charles W. (Charles Weever), 1896-1972",,1591,Landscape photographs,,Boulders,Cliffs,Rock formations,Shrubs,Buttes,Shadows,,,,,,,"Garden of the Gods (Colorado Springs, Colo.)",1952-10-27 00:00:00+00
0101000020E6100000170D198FD2345AC03F9F1221BF6A4340,,FALSE,6286,38.8339578,-104.8253515,http://purl.dlib.indiana.edu/iudl/archives/cushman/P06286,http://webapp1.dlib.indiana.edu/collections/cushman/full/P06286.jpg,"Oct. 28, 1952",Broadmoor Hotel & Colo Spgs in haze beyond,"Broadmoor Hotel and, in haze beyond, Colorado Springs",,,"Colorado Springs, Colorado","38.8339578, -104.8253515",,"Broadmoor (Hotel : Colorado Springs, Colo.)",1592,Views,Cityscape photographs,Hotels,Trees,Lawns,Grasses,Shrubs,Buildings,,Lakes & ponds,,,,,,1952-10-28 00:00:00+00
0101000020E61000003BB077DA75985EC0B04EDF7C34A04240,,FALSE,6765,37.2516018,-122.3821932,http://purl.dlib.indiana.edu/iudl/archives/cushman/P06765,http://webapp1.dlib.indiana.edu/collections/cushman/full/P06765.jpg,"Aug. 30, 1953","Drive up 101 to Petaluma - over Sonoma Mtn to Sonoma for lunch, back to Sausalito and home for dinner.","Sonoma county landscape from Roberts road, looking west.",,,"Petaluma, California","37.2516018, -122.3821932",,,3059,Landscape photographs,,Meadows,Trees,Fences,Grasses,Wildflowers,Clouds,Hills,Croplands,Rocks,,,,Sonoma Mountain (Calif.),1953-08-30 00:00:00+00
0101000020E61000006D3590D3FCF85BC05A4F08782D624440,Utah Capitol,FALSE,6489,40.7670126,-111.8904313,http://purl.dlib.indiana.edu/iudl/archives/cushman/P06489,http://webapp1.dlib.indiana.edu/collections/cushman/full/P06489.jpg,"Nov. 6, 1952",Capitol from SW.,Utah Capitol from southwest.,,masked.,"Salt Lake City, Utah","40.7670126, -111.8904313",,,3277,Architectural photographs,,Domes,Capitols,Columns,Colonnades,Trees,Shrubs,Windows,Lawns,Leaves,Pediments,,,,1952-11-06 00:00:00+00
0101000020E61000003795FBD3FCF85BC05A4F08782D624440,Utah Capitol,FALSE,6490,40.7670126,-111.8904314,http://purl.dlib.indiana.edu/iudl/archives/cushman/P06490,http://webapp1.dlib.indiana.edu/collections/cushman/full/P06490.jpg,"Nov. 6, 1952",Capitol from SW.,Utah's Capitol from S.W. corner of Capitol grounds.Salt Lake City.,,,"Salt Lake City, Utah","40.7670126, -111.8904314",,,3278,Architectural photographs,,Domes,Columns,Colonnades,Trees,Shrubs,Leaves,Tree limbs,Shadows,Hills,Capitols,Lawns,Pediments,"Capitol Hill (Salt Lake City, Utah)",1952-11-06 00:00:00+00
0101000020E610000002F566D4FCF85BC05A4F08782D624440,,FALSE,6491,40.7670126,-111.8904315,http://purl.dlib.indiana.edu/iudl/archives/cushman/P06491,http://webapp1.dlib.indiana.edu/collections/cushman/full/P06491.jpg,"Nov. 6, 1952",View SE from Capitol late aft.,"View southeast over Salt Lake City, Utah from Capitol in late afternoon.",,,"Salt Lake City, Utah","40.7670126, -111.8904315",,,3279,Landscape photographs,Cityscape photographs,Sculpture,Trees,Mountains,,Buildings,Automobiles,Streets,Cities & towns,Parking,Lawns,,,"Capitol Hill (Salt Lake City, Utah)",1952-11-06 00:00:00+00
0101000020E6100000FEC4B766616C54C0385A1F20A9C04440,,FALSE,2405,41.5051613,-81.6934449,http://purl.dlib.indiana.edu/iudl/archives/cushman/P02405,http://webapp1.dlib.indiana.edu/collections/cushman/full/P02405.jpg,"Sep. 11, 1941",Mouth of Cuyahoga river at noon.,"Cleveland, Mouth of Cuyahoga river.",,,"Cleveland, Ohio","41.5051613, -81.6934449",,,1547,Marine photographs,,Railroad cars,Vessels,Rivers,Piers & wharves,Hoisting machinery,,,,,,,,Cuyahoga River (Ohio),1941-09-11 00:00:00+00
0101000020E6100000E26C848FD2345AC03F9F1221BF6A4340,,FALSE,6315,38.8339578,-104.8253516,http://purl.dlib.indiana.edu/iudl/archives/cushman/P06315,http://webapp1.dlib.indiana.edu/collections/cushman/full/P06315.jpg,"Oct. 29, 1952",Rocks north of Garden of the Gods,Scene north of Garden of the Gods Colorado,,,"Colorado Springs, Colorado","38.8339578, -104.8253516",,,1593,Landscape photographs,,Mountains,Hills,Cliffs,Trees,Shrubs,Grasses,Buildings,Houses,Rock formations,,,,"Garden of the Gods (Colorado Springs, Colo.)",1952-10-29 00:00:00+00
0101000020E6100000ACCCEF8FD2345AC03F9F1221BF6A4340,,FALSE,6316,38.8339578,-104.8253517,http://purl.dlib.indiana.edu/iudl/archives/cushman/P06316,http://webapp1.dlib.indiana.edu/collections/cushman/full/P06316.jpg,"Oct. 29, 1952",Thru Gateway covered Pike's Peak,Looking through the Gateway-west to Pike's Peak-Garden of the Gods,,,"Colorado Springs, Colorado","38.8339578, -104.8253517",,,1594,Landscape photographs,,Mountains,Cliffs,Rock formations,Shadows,Shrubs,Buttes,,,,,,,"Garden of the Gods (Colorado Springs, Colo.)",1952-10-29 00:00:00+00
0101000020E61000003F5D386B4BBB5BC05192640C621C4040,Flagship Skysleeper,FALSE,1764,32.2217422,-110.9264782,http://purl.dlib.indiana.edu/iudl/archives/cushman/P01764,http://webapp1.dlib.indiana.edu/collections/cushman/full/P01764.jpg,Feb. 1940,Flagship Texas at Tucson airport,"American Airlines, TexasTucson AirportCushman",,"Image was originally mounted in a glass enclosure. Before digitization, the imagewas removed and placed in a Wess Plastic, Inc. brand, 2"" x 2"", plastic mount. The description from the slide mount was then transferred to the new mount by the staff of the University Archives. The transferred information was checked against the data on the original slide mount for accuracy. The original mounts have been kept with the Cushman collection.","Tucson, Arizona","32.2217422, -110.9264782",,Tucson International Airport,4194,,,Clouds,Mountains,Airplanes,Airports,Ladders,,,,,,,,,1940-02-01 00:00:00+00
0101000020E61000000030588B5ADA5DC0FD69A33A1D904140,,FALSE,7649,35.125892,-119.4117764,http://purl.dlib.indiana.edu/iudl/archives/cushman/P07649,http://webapp1.dlib.indiana.edu/collections/cushman/full/P07649.jpg,"Mar. 1, 1955",3 derricks with folded hills in background(Hazy),EKOil derricks northwest of Taft.Hazy morning - in background - Temblor Range,,,"Taft, California","35.125892, -119.411776386376",,,4108,Views,,Hills,Oil well drilling rigs,Oil wells,Shrubs,Dirt roads,Storage tanks,Facilities,Mountains,,,,,,1955-03-01 00:00:00+00
0101000020E61000001706764625B851C0CF41E1FD02684540,,FALSE,2472,42.8125913,-70.8772751,http://purl.dlib.indiana.edu/iudl/archives/cushman/P02472,http://webapp1.dlib.indiana.edu/collections/cushman/full/P02472.jpg,"Sep. 19, 1941","The old Short House; Newburyport, Mass.",The old Short House circa1717-1733= Newbury Port Mass.,,"Image was originally mounted in a glass enclosure. Before digitization, the imagewas removed and placed in a Wess Plastic, Inc. brand, 2"" x 2"", plastic mount. The description from the slide mount was then transferred to the new mount by the staff of the University Archives. The transferred information was checked against the data on the original slide mount for accuracy. The original mounts have been kept with the Cushman collection.","Newburyport, Massachusetts","42.8125913, -70.8772751",,Short House (Mass.),2974,Architectural photographs,,Historic buildings,,,,,,,,,,,,,1941-09-19 00:00:00+00
0101000020E61000001B81785DBFD855C04B1BB39190224440,,FALSE,3519,40.2700369,-87.38668,http://purl.dlib.indiana.edu/iudl/archives/cushman/P03519,http://webapp1.dlib.indiana.edu/collections/cushman/full/P03519.jpg,"Oct. 15, 1946",Ind. Corn field along Hwy 63 so. Of W. Lebanon.,Green Sycamores and yellow corn along Hwy 63 south of West LebanonIndiana,,,"West Lebanon, Indiana","40.2700369, -87.38668",,,4417,Identification photographs,,Trees,Shrubs,Hills,Croplands,Corn,Sycamores,,,,,,,,1946-10-15 00:00:00+00
0101000020E61000002D4E6B894BBB5BC05192640C621C4040,,FALSE,5677,32.2217422,-110.9264854,http://purl.dlib.indiana.edu/iudl/archives/cushman/P05677,http://webapp1.dlib.indiana.edu/collections/cushman/full/P05677.jpg,"Feb. 5, 1952",Pool above small dam - with trees & rocks,"Pool above small dam - with trees and rocks.Sabino canyon near Tucson, Ariz.",,,"Tucson, Arizona","32.2217422, -110.9264854",,,4266,Landscape photographs,,Shrubs,Trees,Rocks,Cliffs,Canyons,Lakes & ponds,Dams,,,,,,Sabino Canyon (Ariz.),1952-02-05 00:00:00+00
0101000020E6100000459039854BBB5BC05192640C621C4040,,FALSE,5585,32.2217422,-110.9264844,http://purl.dlib.indiana.edu/iudl/archives/cushman/P05585,http://webapp1.dlib.indiana.edu/collections/cushman/full/P05585.jpg,"Jan. 15, 1952",Jean near Exhibits 22 to 28 incl. = cave of Sarelinas,Jean in front of Cave of Sarelinas Sahuaro Nat'l Monum't,,,"Tucson, Arizona","32.2217422, -110.9264844","Cushman, Jean",,4256,Landscape photographs,Portraits,Trees,Shrubs,Women,Rocks,Rock formations,Caves,Deserts,National parks & reserves,,,,,,1952-01-15 00:00:00+00
0101000020E6100000E902A8F3F20B56C0295B24ED46DB4240,,FALSE,4431,37.713102,-88.1867036,http://purl.dlib.indiana.edu/iudl/archives/cushman/P04431,http://webapp1.dlib.indiana.edu/collections/cushman/full/P04431.jpg,16572,Old double brick house next door | Old double brick,old Shawneetown,,,"Shawneetown, Illinois","37.713102, -88.1867036",,,3999,Architectural photographs,,Chimneys,Roofs,Trees,Windows,Shadows,Shrubs,Sidewalks,Doors & doorways,,,,,,1949-05-16 00:00:00+00
0101000020E61000000030588B5ADA5DC0FD69A33A1D904140,,FALSE,7648,35.125892,-119.4117764,http://purl.dlib.indiana.edu/iudl/archives/cushman/P07648,http://webapp1.dlib.indiana.edu/collections/cushman/full/P07648.jpg,"Mar. 1, 1955",Oil derricks north of Ford City,"Oil derricks north of Ford CityKern County, Calif.",,,"Taft, California","35.125892, -119.411776386376",,,4107,Views,,Oil well drilling rigs,Oil wells,Facilities,Trucks,Pipes (Conduits),Utility poles,Hills,Trees,Shrubs,Petroleum workers,Bodies of water,Roads,,1955-03-01 00:00:00+00
0101000020E610000016A3AEB5F7E755C0626E522C12F04440,,FALSE,4203,41.8755546,-87.624494,http://purl.dlib.indiana.edu/iudl/archives/cushman/P04203,http://webapp1.dlib.indiana.edu/collections/cushman/full/P04203.jpg,"Feb. 18, 1949",High wood porch - 1132 Washburne Ave. | 1132 W. Washburne,High portico 1132 Washburne St. Chgo.,,,"Chicago, Illinois","41.8755546, -87.6244940",,,1151,Architectural photographs,,Porches,Doors & doorways,Buildings,Fences,Stairways,Porticoes (Porches),Pediments,Hand railings,Ironwork,,,,,1949-02-18 00:00:00+00
0101000020E6100000283CB203F8E755C0626E522C12F04440,,FALSE,4533,41.8755546,-87.6245126,http://purl.dlib.indiana.edu/iudl/archives/cushman/P04533,http://webapp1.dlib.indiana.edu/collections/cushman/full/P04533.jpg,"Aug. 5, 1949",Harold Alzana practicing hand stand | Circus,Harold Alzana,,,"Chicago, Illinois","41.8755546, -87.6245126","Alzana, Harold",Ringling Brothers Barnum and Bailey Combined Shows,1337,Identification photographs,,Show tents,Clotheslines,Circuses & shows,Circus performers,Acrobats,,,,,,,,,1949-08-05 00:00:00+00
0101000020E6100000AE9921FA5AD75EC058271D9BD3364840,,FALSE,1450,48.4283327,-123.3649278,http://purl.dlib.indiana.edu/iudl/archives/cushman/P01450,http://webapp1.dlib.indiana.edu/collections/cushman/full/P01450.jpg,"Sep. 17, 1938",C-37= A Bourbon Villa.,"C-37=A retired Britisker's home at Victoria, B.C.",,magenta cast [fading of yellow dye].,"Victoria, British Columbia","48.4283327, -123.3649278",,,4312,Architectural photographs,,Houses,Vines,Automobiles,Windows,Chimneys,Driveways,,,,,,,,1938-09-17 00:00:00+00
0101000020E61000004359F8FA5AD75EC058271D9BD3364840,,FALSE,1452,48.4283327,-123.364928,http://purl.dlib.indiana.edu/iudl/archives/cushman/P01452,http://webapp1.dlib.indiana.edu/collections/cushman/full/P01452.jpg,Sep. 1938,C-39= Flowers in garden of c-38,"C-39=Flowers in a Victoria, B.C. garden",,magenta cast [fading of yellow dye].,"Victoria, British Columbia","48.4283327, -123.3649280",,,4314,Identification photographs,,Flowers,Shrubs,Gardens,,,,,,,,,,,1938-09-01 00:00:00+00
0101000020E6100000903B5BF65AD75EC058271D9BD3364840,Butchart,FALSE,1456,48.4283327,-123.3649269,http://purl.dlib.indiana.edu/iudl/archives/cushman/P01456,http://webapp1.dlib.indiana.edu/collections/cushman/full/P01456.jpg,"Sep. 17, 1938",* C-45: Scene in Mr. Butchart's Gardens,"C-45=In Mister Butchart's Gardensnear Victoria, B.C.",,"magenta cast [fading of yellow dye]. Image was originally mounted in a glass enclosure. Before digitization, the imagewas removed and placed in a Wess Plastic, Inc. brand, 2"" x 2"", plastic mount. The description from the slide mount was then transferred to the new mount by the staff of the University Archives. The transferred information was checked against the data on the original slide mount for accuracy. The original mounts have been kept with the Cushman collection.","Victoria, British Columbia","48.4283327, -123.3649269",,,4315,Landscape photographs,,Trees,Shrubs,Flowers,Walkways,Gardens,,,,,,,,,1938-09-17 00:00:00+00
0101000020E61000000030588B5ADA5DC0FD69A33A1D904140,,FALSE,7647,35.125892,-119.4117764,http://purl.dlib.indiana.edu/iudl/archives/cushman/P07647,http://webapp1.dlib.indiana.edu/collections/cushman/full/P07647.jpg,"Mar. 1, 1955",Oil derricks north of Ford City,"Oil derricks north of Ford City near Taft, Calif.",,,"Taft, California","35.125892, -119.411776386376",,,4106,Views,,Oil well drilling rigs,Oil wells,Hills,Facilities,Trees,Utility poles,Shrubs,Buildings,Pipes (Conduits),,,,,1955-03-01 00:00:00+00
0101000020E61000001EA33CF3F20B56C0295B24ED46DB4240,,FALSE,4430,37.713102,-88.1867035,http://purl.dlib.indiana.edu/iudl/archives/cushman/P04430,http://webapp1.dlib.indiana.edu/collections/cushman/full/P04430.jpg,16572,Old frame house facing levee | Old frame house,Old Shawneetown,,,"Shawneetown, Illinois","37.713102, -88.1867035",,,3998,Architectural photographs,,Houses,Trees,Balconies,Shadows,Sidewalks,Porches,,,,,,,,1949-05-16 00:00:00+00
0101000020E610000079AAE8B413A755C0D026874F3AE64440,,FALSE,3160,41.7986545,-86.6105778,http://purl.dlib.indiana.edu/iudl/archives/cushman/P03160,http://webapp1.dlib.indiana.edu/collections/cushman/full/P03160.jpg,"Mar. 30, 1946","White fruit blossoms along U.S. 112 mile west of Three Oaks, Mich.","Along U.S. 112 mile west of Three Oaks, Mich",,,"Three Oaks, Michigan","41.7986545, -86.6105778",,,4138,Identification photographs,,Trees,Flowers,Shrubs,Weeds,,,,,,,,,Flowering trees,1946-03-30 00:00:00+00
0101000020E610000017EF6C34250854C03D8D6AC7C3C93940,,FALSE,1566,25.7881436,-80.1272708,http://purl.dlib.indiana.edu/iudl/archives/cushman/P01566,http://webapp1.dlib.indiana.edu/collections/cushman/full/P01566.jpg,Mar. 1939,K-11= Cabanas along the Promenade,K-11= Along Ocean Av.Miami Beach,,"magenta cast [fading of yellow dye], masked.","Miami Beach, Florida","25.7881436, -80.1272708",,,2425,Snapshots,Identification photographs,Tents,Palms,People,Stone walls,Walkways,Men,Cabanas,Sidewalks,Carts & wagons,Lawns,,,Atlantic Coast (Fla.),1939-03-01 00:00:00+00
0101000020E6100000D976DA1A11F655C01E1F88878B2E4540,,FALSE,3080,42.3636331,-87.844794,http://purl.dlib.indiana.edu/iudl/archives/cushman/P03080,http://webapp1.dlib.indiana.edu/collections/cushman/full/P03080.jpg,"Nov. 7, 1945",Freie Deutsche Evangl Eben=Ezer Kirche.Waukegan,Freie Deutsche Evangl Eben= Ezer KircheWAUKEGANC.W. Cushman,,,"Waukegan, Illinois","42.3636331, -87.8447940",,Freie Deutsche Evangl Eben,4397,Architectural photographs,,Clouds,Steeples,Churches,Signs (Notices),Automobiles,Sidewalks,Fire hydrants,Streets,,,,,,1945-11-07 00:00:00+00
0101000020E6100000A4D6451B11F655C01E1F88878B2E4540,,FALSE,3081,42.3636331,-87.8447941,http://purl.dlib.indiana.edu/iudl/archives/cushman/P03081,http://webapp1.dlib.indiana.edu/collections/cushman/full/P03081.jpg,"Nov. 7, 1945",Old house at S.E. corner Sheridan Rd.+ Washington St.Waukegan,"Old house at S.E. corner, Sheridan Rd. & Washington, WAUKEGANCushman",,,"Waukegan, Illinois","42.3636331, -87.8447941",,,4398,Architectural photographs,,Clouds,Trees,Dwellings,Automobiles,Sidewalks,Streets,Street lights,Shadows,Traffic signs & signals,,,,,1945-11-07 00:00:00+00
0101000020E6100000BD129216F8E755C0626E522C12F04440,Crataegus oxyaeanthus,FALSE,4770,41.8755546,-87.6245171,http://purl.dlib.indiana.edu/iudl/archives/cushman/P04770,http://webapp1.dlib.indiana.edu/collections/cushman/full/P04770.jpg,16951,Paul's scarlet hawthorn in bloom in Lilly yard at 5801 Kenwood. [Crataegus Oxyacanthus var. Paulii] | Scarlett Hawthorn in Lilly yard from sidewalk - near tree - in sum,Paul's scarlet hawthorn at 5801 KenwoodChicago,,,"Chicago, Illinois","41.8755546, -87.6245171",,,1382,Identification photographs,,Flowers,Shrubs,Shadows,,,,,,,,,,Crataegus laevigata,1950-05-30 00:00:00+00
0101000020E6100000C6A354C213BE57C0A9DE1AD82AF54140,,FALSE,6227,35.91537,-94.969956,http://purl.dlib.indiana.edu/iudl/archives/cushman/P06227,http://webapp1.dlib.indiana.edu/collections/cushman/full/P06227.jpg,"Oct. 23, 1952",Illinois river from US Hwy 62 on bridge east of Tahlequah Okla,Illinois river from US 62 bridge east of Tallequah Oklahoma,,,"Tahlequah, Oklahoma","35.91537, -94.969956",,,4109,Landscape photographs,,Rivers,Trees,Tree limbs,Shrubs,Hills,,,,,,,,Illinois River (Ark. and Okla.),1952-10-23 00:00:00+00
0101000020E6100000E339B6F95AD75EC058271D9BD3364840,,FALSE,1449,48.4283327,-123.3649277,http://purl.dlib.indiana.edu/iudl/archives/cushman/P01449,http://webapp1.dlib.indiana.edu/collections/cushman/full/P01449.jpg,"Sep. 17, 1938",C-34= Street scene = fire's out.,"C-34= Street scene.Victoria, B.C.",,magenta cast [fading of yellow dye].,"Victoria, British Columbia","48.4283327, -123.3649277",,,4311,Ethnographic photographs,Portraits,Trees,Fences,Children,Dogs,Houses,Sidewalks,Streets,Utility poles,Doors & doorways,Windows,Fire alarms,Dresses,,1938-09-17 00:00:00+00
0101000020E6100000E11CBF01F7E755C0626E522C12F04440,,FALSE,2916,41.8755546,-87.6244511,http://purl.dlib.indiana.edu/iudl/archives/cushman/P02916,http://webapp1.dlib.indiana.edu/collections/cushman/full/P02916.jpg,"Mar. 24, 1945 - May 6, 1945","Whire blossoms - Plum tree - Jackson Pk. , Chicago's earliest spring.",PlumtreeBlossomsJackson Park,,"Image was originally mounted in a glass enclosure. Before digitization, the imagewas removed and placed in a Wess Plastic, Inc. brand, 2"" x 2"", plastic mount. The description from the slide mount was then transferred to the new mount by the staff of the University Archives. The transferred information was checked against the data on the original slide mount for accuracy. The original mounts have been kept with the Cushman collection.","Chicago, Illinois","41.8755546, -87.6244511",,,722,Identification photographs,,Plum trees,Flowers,Spring,,,,,,,,,,"Jackson Park (Chicago, Ill.)",1945-03-24 00:00:00+00
0101000020E6100000AB7C2A02F7E755C0626E522C12F04440,Norway maple,FALSE,2917,41.8755546,-87.6244512,http://purl.dlib.indiana.edu/iudl/archives/cushman/P02917,http://webapp1.dlib.indiana.edu/collections/cushman/full/P02917.jpg,"Mar. 24, 1945 - May 6, 1945",Yellow blossoms of Norway Maple - Jackson Pk.,Chicago's Earliest Springjackson Park Tree in Yellow Boo,,"Image was originally mounted in a glass enclosure. Before digitization, the imagewas removed and placed in a Wess Plastic, Inc. brand, 2"" x 2"", plastic mount. The description from the slide mount was then transferred to the new mount by the staff of the University Archives. The transferred information was checked against the data on the original slide mount for accuracy. The original mounts have been kept with the Cushman collection.","Chicago, Illinois","41.8755546, -87.6244512",,,723,Identification photographs,,Maples,Flowers,Spring,,,,,,,,,,"Jackson Park (Chicago, Ill.)",1945-03-24 00:00:00+00
0101000020E610000076DC9502F7E755C0626E522C12F04440,,FALSE,2918,41.8755546,-87.6244513,http://purl.dlib.indiana.edu/iudl/archives/cushman/P02918,http://webapp1.dlib.indiana.edu/collections/cushman/full/P02918.jpg,"Apr. 4, 1945",High branches of Jackson Park trees against clouds,High branches against clouds overJackson Park - (cold),,,"Chicago, Illinois","41.8755546, -87.6244513",,,724,,,Clouds,Trees,,,,,,,,,,,"Jackson Park (Chicago, Ill.)",1945-04-04 00:00:00+00
